no,smiles,tm
129,O=C(N1N(C(OC(C)(C)C)=O)C(C(OC(C)(C)C)=O)(C(C)(C)C)N=C1C2=CC=C([N+]([O-])=O)C=C2)OC(C)(C)C,69
130,O=C(N1N(C(OC(C)C)=O)C(C(OC(C)(C)C)=O)(C2=CC=CC=C2)N=C1C3=CC=C([N+]([O-])=O)C=C3)OC(C)C,69
131,O=C(OC1C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1)=O)C2=CC=C([N+]([O-])=O)C=C2,69
132,O=[N+](C1=C(OC)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],69.25
133,O=[N+](C1=CC(C=NC2=CC=CC=C2)=CC=C1)[O-],69.25
134,O=[N+](C1=CC=C(C=C1)NC(C)(C)C)[O-],69.25
135,CN(C1=CC=C2C([N+]([O-])=O)=CC=CC2=C1N)C,69.25
136,COCCOC1=CC=C([N+]([O-])=O)C=C1OCCCC,69.25
137,O=[N+](C1=CC=C(OCC(OC(C)=O)C)C=C1)[O-],69.25
138,O=C(OC(C1=C(C)CC2C(C)(C)[C@]2([H])C1)C)C3=CC=C([N+]([O-])=O)C=C3,69.25
139,O=C(OC)/C([N+]([O-])=O)=C/N(CC)C1=CC=CC=C1,69.25
140,O=C1C([N+]([O-])=O)(C/C=C/OCC)C(C2=C1C=CC=C2)=O,69.25
141,O=[N+](C1=C2N=CC=C(C)C2=C(OCCCCCCCCOC3=CC=CC=C3)C(OC)=C1)[O-],69.25
142,O=C(O[C@H]1CC[C@]2([H])CCCC[C@@]12[H])C3=CC=C([N+]([O-])=O)C=C3,69.3
143,O=C1C(O[N+]([O-])=O)(O[N+]([O-])=O)C(C)CC1(O[N+]([O-])=O)O[N+]([O-])=O,69.4
144,O=[N+](CC(C1=C(C2=CC(C)=CC(C)=C2)NC3=C1C=CC=C3)C4=CC=CC=C4)[O-],69.45
145,O=C(OC)C1=CC=CC([N+]([O-])=O)=C1C(OC)=O,69.5
146,O=[N+](C1=CC(C=NC2=CC=CC=C2)=CC=C1)[O-],69.5
147,O=[N+](C1=CC=CC=C1N2CCCCC2)[O-],69.5
148,O=[N+](C1=C(C)N(C)N=C1C)[O-],69.5
149,O=[N+](C1=CC=C(C=C1)N(C)C2=CC=CC=C2)[O-],69.5
150,O=[N+](C1=CN=C(OC)N=C1)[O-],69.5
151,O=C(N1CCC(C2=CC=C([N+]([O-])=O)C=C2)CC1)OC(C)(C)C,69.5
152,[O-][N+](C(C)(C)C)=CC1=CC=C(C)C=C1,69.5
153,O=[N+](CC(C1=CC=CC=C1)C2=CC=CC=C2)[O-],69.5
154,O=[N+](C1=CC=C(N=[N+]=[N-])C(C)=C1)[O-],69.5
155,O=[N+](C1=CC=C(C=C1)N=CC2=CC=C(C)C=C2)[O-],69.5
156,CC1=CC=C(C2=CC=C(C)C=C2[N+]([O-])=O)C=C1,69.5
157,CC(C1=CC=C([N+]([O-])=O)C=C1)([N+]([O-])=O)C,69.5
158,O=C(OC=C)C1=CC=C([N+]([O-])=O)C=C1,69.5
159,O=[N+](C1=CC(C2=CC=CC=C2C)=CC=C1)[O-],69.5
160,O=[N+](C1COC(C2=CC=CC=C2)OC1)[O-],69.5
161,O=C(OC)C1=CC=C([N+]([O-])=O)C=C1[N+]([O-])=O,69.5
162,[O-][N+](C(C)(C)C)=CC1=CC=CC(C)=C1,69.5
163,O=[N+](C1=CC=CC=C1OC2=CC=CC=C2OC)[O-],69.5
164,O=C(OC1=CC=C([N+]([O-])=O)C=C1)N(C)C2=CC=CC=C2,69.5
165,O=C(O[C@H]1C=CCCC1)C2=CC=C([N+]([O-])=O)C=C2,69.5
166,CC(OC1=CC([N+]([O-])=O)=CC=C1C)=O,69.5
167,CC(N1CCN(C2=CC=CC=C2[N+]([O-])=O)CC1)=O,69.5
168,O=[N+](C1=CC=C(C=C1)CC2=NOC(CC)=N2)[O-],69.5
169,O=[N+](C1=C(C)C(C)=C([N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],69.5
170,O=C(N)N(CCCCC)N=O,69.5
171,CCC(C1=CC=C([N+]([O-])=O)C=C1)[N+]([O-])=O,69.5
172,[O-][N+](C1CCCCC1)=CC2=CC=CC=C2,69.5
173,O=C1C(C(C)([N+]([O-])=O)C)CCCC1,69.5
174,O=C(C1(C(OC)=O)C(C(OC)=O)=C(C(OC)=O)C(C(OC)=O)=C1C2=CC=C([N+]([O-])=O)C=C2C)OC,69.5
175,O=[N+](C1=CC=C(OC)C(OC2=CC=CC=C2)=C1)[O-],69.5
176,O=[N+](C1=CC(/N=N\C2=CC=CC=C2)=CC=C1)[O-],69.5
177,O=[N+](C1=C(C)N=C(C)C([N+]([O-])=O)=C1)[O-],69.5
178,CC(C)C(C1=CC=C([N+]([O-])=O)C=C1)(C)[N+]([O-])=O,69.5
179,O=[N+](C1=CC=C(C)C=C1C2=CC=C(C)C=C2)[O-],69.5
180,O=C(OC1=CC=CC=C1)N(C)C2=CC=CC([N+]([O-])=O)=C2,69.5
181,O=[N+](C([N+]([O-])=O)=NN(C)C)[O-],69.5
182,O=NC1C([N+]([O-])=O)CCC1,69.5
183,O=[N+](C1=CC=C(C=C1)CON2C(C#N)=CC=C2)[O-],69.5
184,CC(C)COC1=CC=C([N+]([O-])=O)C=C1OCC(C)C,69.5
185,N#CC1=CC=C(C(C)(C)C)C([N+]([O-])=O)=C1,69.5
186,O=C(OC1C=C(C)CCC1)C2=CC=C([N+]([O-])=O)C=C2,69.5
187,O=[N+]([C@H]1[C@@H](C2=CC=CC=C2)N(C3=CC=CC=C3)OC1C4=CC=CC=C4)[O-],69.5
188,O=C1N(CC2=CC=CC=C2[N+]([O-])=O)COC(C)(COC)C1,69.5
189,CCCC1([N+]([O-])=O)CN(C2CCCCC2)COC1,69.5
190,CC/C=C\C/C=C\CC=NNC1=CC=C([N+]([O-])=O)C=C1[N+]([O-])=O,69.5
191,N=C(N[N+]([O-])=O)N([N+]([O-])=O)CCCC,69.5
192,CC(CCCCOC)=NNC1=CC=C([N+]([O-])=O)C=C1[N+]([O-])=O,69.5
193,CC([N+]([O-])=O)([N+]([O-])=O)CC1=CC=CC=C1,69.5
194,CC(OC1=CC=C(CO[N+]([O-])=O)C=C1)=O,69.5
195,CC1=CC=C(C2=NOC(C)=C2[N+]([O-])=O)C=C1,69.5
196,O=[N+](C1=CC(C)=CC=C1/C=C/N2CCCC2)[O-],69.5
197,O=NN1CCCC2=C1C=CC=C2C,69.5
198,O=NC1=CC=C(N2CC(C)OCC2)C=C1,69.5
199,O=[N+](C1=C2C=CC=NC2=CC=C1NC3=CC=CC=C3)[O-],69.5
200,O=C(NCC1=CC=NC=C1)C2=CN=CC([N+]([O-])=O)=C2,69.5
201,O=[N+](C1=CN=C(C)N1CCO[N+]([O-])=O)[O-],69.5
202,CCN(CC)NC1=C([N+]([O-])=O)C=CC=C1[N+]([O-])=O,69.5
203,CC(N1CC(C2=CC=C([N+]([O-])=O)C=C2)OCC1)C,69.5
204,CC1(C)CCN(N=O)CC1,69.5
205,O=C(C(C1=CC=C([N+]([O-])=O)C=C1)(CC)CC2)N(CCC)C2=O,69.5
206,O=[N+](C([N+]([O-])=O)CCCC([N+]([O-])=O)[N+]([O-])=O)[O-],69.5
207,O=[N+](C1=C(OC)C(C2CCC3CC2)=C3C=C1)[O-],69.5
